movie_title;actor_1;actor_2;actor_3;actor_4;actor_5;actor_6;actor_7;actor_8;actor_9;actor_10
Captain America: The Winter Soldier;Chris Evans;Samuel L. Jackson;Scarlett Johansson;Robert Redford;Sebastian Stan;Anthony Mackie;Cobie Smulders;Frank Grillo;Emily VanCamp;Hayley Atwell
Shrek Forever After;Mike Myers;Eddie Murphy;Cameron Diaz;Antonio Banderas;Julie Andrews;Jon Hamm;John Cleese;Craig Robinson;Walt Dohrn;Jane Lynch
Tomorrowland;Britt Robertson;George Clooney;Raffey Cassidy;Thomas Robinson;Hugh Laurie;Kathryn Hahn;Keegan-Michael Key;Tim McGraw;Chris Bauer;Pierce Gagnon
Big Hero 6;Scott Adsit;Ryan Potter;Daniel Henney;T.J. Miller;Jamie Chung;Damon Wayans Jr.;James Cromwell;Alan Tudyk;Maya Rudolph;Abraham Benrubi
Wreck-It Ralph;John C. Reilly;Sarah Silverman;Jack McBrayer;Jane Lynch;Alan Tudyk;Mindy Kaling;Joe Lo Truglio;Ed O'Neill;Dennis Haysbert;Adam Carolla
The Polar Express;Tom Hanks;Michael Jeter;Nona Gaye;Peter Scolari;Eddie Deezen;Leslie Zemeckis;Steven Tyler;Julene Renee;Chris Coppola;Charles Fleischer
Independence Day: Resurgence;Liam Hemsworth;Jeff Goldblum;Bill Pullman;Maika Monroe;Sela Ward;William Fichtner;Vivica A. Fox;Charlotte Gainsbourg;Brent Spiner;Judd Hirsch
How to Train Your Dragon;Jay Baruchel;Gerard Butler;Craig Ferguson;America Ferrera;Jonah Hill;Christopher Mintz-Plasse;T.J. Miller;Kristen Wiig;Robin Atkin Downes;Philip McGrade
Terminator 3: Rise of the Machines;Arnold Schwarzenegger;Nick Stahl;Claire Danes;Kristanna Loken;David Andrews;Mark Famiglietti;Earl Boen;Moira Harris;Chopper Bernet;Christopher Lawford
Guardians of the Galaxy;Chris Pratt;Zoe Saldana;Dave Bautista;Vin Diesel;Bradley Cooper;Lee Pace;Michael Rooker;Karen Gillan;Djimon Hounsou;John C. Reilly
Interstellar;Matthew McConaughey;Jessica Chastain;Anne Hathaway;Michael Caine;Casey Affleck;Mackenzie Foy;Bill Irwin;Matt Damon;Ellen Burstyn;John Lithgow
Inception;Leonardo DiCaprio;Joseph Gordon-Levitt;Ellen Page;Tom Hardy;Ken Watanabe;Cillian Murphy;Marion Cotillard;Michael Caine;Dileep Rao;Tom Berenger
The Fast and the Furious;Paul Walker;Vin Diesel;Michelle Rodriguez;Jordana Brewster;Rick Yune;Chad Lindberg;Johnny Strong;Ted Levine;Matt Schulze;Thom Barry
The Curious Case of Benjamin Button;Cate Blanchett;Brad Pitt;Tilda Swinton;Julia Ormond;Elle Fanning;Madisen Beaty;Jason Flemyng;Elias Koteas;Taraji P. Henson;Josh Stewart
X-Men: First Class;James McAvoy;Michael Fassbender;Jennifer Lawrence;Kevin Bacon;Rose Byrne;Nicholas Hoult;January Jones;Jason Flemyng;Lucas Till;Caleb Landry Jones
The Hunger Games: Mockingjay - Part 2;Jennifer Lawrence;Josh Hutcherson;Liam Hemsworth;Woody Harrelson;Elizabeth Banks;Julianne Moore;Philip Seymour Hoffman;Jeffrey Wright;Stanley Tucci;Donald Sutherland
The Sorcerer's Apprentice;Nicolas Cage;Jay Baruchel;Monica Bellucci;Alfred Molina;Teresa Palmer;Ethan Peck;Alice Krige;Peyton List;Toby Kebbell;Omar Benson Miller
Poseidon;Kurt Russell;Richard Dreyfuss;Josh Lucas;Jacinda Barrett;Emmy Rossum;Mike Vogel;Jimmy Bennett;Andre Braugher;Kevin Dillon;Kirk B.R. Woller
